stall_force|mt_speed|mt_diff|cl_diff|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.1|100|144|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|75|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|164|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|10|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|120|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|49|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|194|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|160|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|41|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|92|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|165|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|186|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|169|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|182|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|86|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|165|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|147|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|74|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|192|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|82|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|180|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|42|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|106|3.0|1e-05|20000000|100
