speed bound_mts bound_cls final_length rho_m force_cls force_mts
0.000000000000000000e+00 4.819753086419753174e+01 1.560000000000000000e+02 2.458991111111111127e+00 1.570049887667287480e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.227160493827160437e+01 4.300000000000000000e+01 1.795630123456790184e+00 5.487240808441851136e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.362962962962962621e+01 1.350000000000000000e+02 2.610678765432099091e+00 1.031520527684716693e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.082716049382715795e+01 1.210000000000000000e+02 2.072529555555555625e+00 1.575990668371967940e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.900000000000000000e+01 1.320000000000000000e+02 2.935829839506173045e+00 5.182147679715291139e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.582716049382715795e+01 1.770000000000000000e+02 2.881846111111111330e+00 9.949242189067371289e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.381481481481481310e+01 5.000000000000000000e+01 1.278314209876543428e+00 1.491505317475777526e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.808641975308642103e+01 1.500000000000000000e+02 2.983575000000000088e+00 4.849807298717755122e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.251851851851851904e+01 7.200000000000000000e+01 1.757982222222222113e+00 1.023928286815095207e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.775308641975308532e+01 6.600000000000000000e+01 1.431919465432098804e+00 1.551760825784192777e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.323456790123456805e+01 5.300000000000000000e+01 1.954466666666666796e+00 5.426149373219375099e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.827160493827159726e+00 1.600000000000000000e+01 8.662468148148146918e-01 9.062716723872239755e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.351851851851851904e+01 9.000000000000000000e+01 1.733614814814815164e+00 1.545613236285430514e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.744444444444444287e+01 1.240000000000000000e+02 2.927724691358024600e+00 4.771079324773189884e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.704938271604938294e+01 4.300000000000000000e+01 1.384772580246913520e+00 9.900397797378457376e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.445679012345679126e+01 9.600000000000000000e+01 1.797796530864197662e+00 1.531396815487938989e-01 0.000000000000000000e+00 0.000000000000000000e+00
