speed bound_cls bound_mts
9.907384823848239264e-02 5.000000000000000000e+00 2.309012345679012412e+02
7.852077687443545506e-03 3.097901234567901270e+02 6.000000000000000000e+01
1.665848012646790541e-02 3.020246913580247110e+02 1.200000000000000000e+02
3.003929539295395468e-02 2.948888888888889142e+02 2.398888888888888857e+02
1.773131210478774700e-02 2.458641975308642031e+02 5.996296296296296191e+01
2.922442411924120256e-02 2.531975308641975175e+02 1.200000000000000000e+02
4.730476513098464536e-02 2.511358024691357969e+02 2.399382716049382793e+02
8.000604110207777675e-02 3.400000000000000000e+01 5.998765432098765160e+01
8.910783649503165038e-02 3.301234567901234840e+01 1.181851851851851904e+02
9.455939476061427096e-02 3.085185185185185119e+01 2.330864197530864317e+02
9.152173667570015492e-02 1.300000000000000000e+01 5.982716049382715795e+01
9.510343270099366753e-02 1.400000000000000000e+01 1.157037037037037095e+02
9.752450316169834765e-02 1.400000000000000000e+01 2.363827160493827080e+02
4.776541327913284840e-02 1.201481481481481524e+02 6.000000000000000000e+01
6.507074299909666737e-02 1.184197530864197461e+02 1.198765432098765444e+02
7.883824525745260214e-02 1.210123456790123413e+02 2.391481481481481524e+02
4.171183378500423027e-03 3.332716049382715937e+02 6.000000000000000000e+01
9.025575880758810593e-03 3.290987654320987872e+02 1.200000000000000000e+02
1.183694670280040911e-02 3.334320987654321016e+02 2.400000000000000000e+02
3.826501806684732415e-02 1.522839506172839492e+02 6.000000000000000000e+01
5.771335817524847478e-02 1.491234567901234698e+02 1.200000000000000000e+02
7.331334688346886896e-02 1.499753086419753174e+02 2.389382716049382793e+02
8.621956865401989023e-02 2.218518518518518690e+01 5.988888888888888573e+01
9.187308039747064947e-02 2.369135802469135754e+01 1.149629629629629619e+02
9.597188346883472887e-02 2.400000000000000000e+01 2.397407407407407334e+02
5.038900180668467836e-03 3.150740740740740762e+02 6.000000000000000000e+01
1.048532068654018691e-02 3.212839506172839492e+02 1.200000000000000000e+02
1.854477190605239439e-02 3.180617283950617207e+02 2.400000000000000000e+02
9.265752032520335746e-03 3.015432098765431874e+02 6.000000000000000000e+01
1.797250451671185412e-02 2.856666666666666856e+02 1.200000000000000000e+02
3.118919376693768050e-02 2.963950617283950351e+02 2.400000000000000000e+02
8.535128726287267986e-02 2.338271604938271508e+01 5.923456790123456983e+01
9.191113369467031335e-02 2.500000000000000000e+01 1.193580246913580254e+02
9.589137308039748231e-02 2.303703703703703809e+01 2.326913580246913682e+02
6.546460027100273193e-02 6.600000000000000000e+01 6.000000000000000000e+01
8.029008581752485052e-02 6.220987654320987303e+01 1.178641975308642031e+02
8.934722222222227228e-02 6.261728395061728492e+01 2.369629629629629619e+02
4.821697154471545066e-02 1.091975308641975317e+02 5.962962962962962621e+01
6.637245934959350169e-02 1.130000000000000000e+02 1.200000000000000000e+02
8.047860207768746388e-02 1.121481481481481524e+02 2.387530864197530889e+02
2.795054200542005512e-02 1.957283950617284063e+02 6.000000000000000000e+01
4.684434281842820430e-02 1.855432098765432158e+02 1.198271604938271651e+02
