speed speed2
8.920892089453924108e-06 7.683073229113937316e-06
-1.346814681468040849e-03 3.201600640255760060e-03
-5.630963096308730419e-04 -1.667867146858807628e-03
-2.816281628147264103e-05 1.754301720692635880e-04
-1.171317131711196264e-04 -1.310284113645217253e-03
5.300566056605658660e-02 8.125515806322525236e-02
-7.478347834783219969e-04 -1.333973589436379930e-03
8.664866486652377593e-05 9.283713484582103851e-06
8.080808080300252294e-06 -1.078831532625819302e-04
-6.000600061121697771e-07 -9.411764705962520736e-05
2.000200024018583914e-07 9.379751900745217862e-05
1.873791379137918281e-02 5.580513805522199777e-02
-1.593759375937589637e-04 -5.669467787116084633e-04
-1.288128812885239885e-05 -3.585434173808794099e-05
1.607920792079405416e-03 3.230092036810317544e-04
2.056101610161023985e-03 4.486658663465353108e-03
4.872887288729301110e-04 1.223273309323696240e-02
5.867093509350936736e-02 9.535759903961582573e-02
1.980198019782021795e-05 2.529011604577598212e-05
-4.376037603761200913e-04 -1.343897559024417399e-03
-7.892789278930208022e-04 -1.984793917564610198e-05
-2.600260025824039023e-06 1.568627450938154326e-05
1.049160916091611447e-02 1.188955582232801254e-03
-4.284348434843427214e-03 -5.794317727091781531e-04
1.508150815080701960e-05 1.920768306101650633e-06
3.664366436593654035e-05 2.637855142050463228e-04
3.937353735373383921e-03 1.422649059623947061e-03
-3.256325632508275456e-05 -2.400960384167144843e-05
1.344134413427934868e-05 -5.474189675917054578e-05
2.565936593659375389e-02 2.683729491796704725e-02
7.040704070624407207e-06 4.801920767920960478e-06
2.575057505749619871e-04 1.002961184473868386e-03
-1.984998499848052893e-04 1.510684273708844203e-03
1.162286628662864522e-02 2.682324129651847064e-02
2.143094309431072247e-03 -5.547819127652161252e-04
-6.071407140712359969e-04 -3.280352140856572334e-03
-1.277207720771985754e-03 -1.671388555423160586e-03
1.331877187718773226e-02 1.214885954381633151e-03
2.277394939493945086e-02 2.953306122448964843e-02
-8.360436043603116513e-04 -2.122448979593231867e-04
9.056905690577297409e-05 -1.107322929171798958e-03
6.448044804480548148e-03 -1.619527811124892242e-03
-2.455445544554305404e-03 -1.874029611844794593e-03
4.019678767876787989e-02 4.535094037615049201e-02
2.377583758375836562e-02 -5.327378951580617923e-03
1.913511351134840940e-03 -9.507803121254987876e-05
1.839248724872488347e-02 5.508565026010404930e-02
-2.320232023224477673e-05 -6.402561034319386701e-07
1.526552655265464966e-03 2.563905562224172603e-03
1.497309730973413796e-03 -1.375270108043346023e-03
1.882760276027605276e-02 1.464361744697866875e-02
3.871627162716355028e-03 9.456582633048878127e-04
3.159515951595167575e-03 2.270668267306645994e-03
-3.452745274524587861e-04 1.439615846338592733e-03
1.236283628362774270e-03 7.078031212482519029e-04
1.464346434643385136e-03 -4.158143257303301490e-03
1.196119611953786247e-05 5.058023209236568507e-05
8.121612161216443899e-04 -2.881152460863176089e-06
5.244524452474958679e-05 1.597438975588237381e-04
4.290349034903444443e-03 -3.864905962385351609e-03
-1.756175617564049930e-05 3.009203681366782245e-05
-9.118023802380250190e-03 -1.905027611044432870e-02
-4.796479647948675160e-05 -7.683073229592023040e-06
2.666467846784676896e-02 8.315646258503184242e-04
-4.568456845629947991e-05 -1.427771108455364903e-04
5.915391539154383127e-04 -4.773109243705033139e-04
