speed bound_cl bound_mt
1.517615176151405620e+00 1.722772277227722881e+01 1.055445544554455495e+01
-2.614046973799264428e-01 1.800000000000000000e+01 2.200000000000000000e+01
-4.014227642274573737e-01 2.946534653465346665e+01 3.000000000000000000e+00
1.106594399277154861e-01 3.058415841584158557e+01 7.000000000000000000e+00
4.059394760618673104e-01 2.500000000000000000e+01 1.800000000000000000e+01
-2.168021680215209412e-01 3.756435643564356752e+01 3.000000000000000000e+00
1.998644986451766914e-01 2.981188118811881083e+01 1.100000000000000000e+01
-3.438346883467744419e-01 2.000000000000000000e+01 1.900000000000000000e+01
-1.102642276423059009e+00 1.023762376237623783e+01 3.000000000000000000e+00
-1.298554652192937531e-02 1.600000000000000000e+01 1.200000000000000000e+01
-2.004290876239867847e-01 2.169306930693069191e+01 1.700000000000000000e+01
-3.867434507678313427e-01 1.000000000000000000e+00 4.000000000000000000e+00
-2.382565492318350353e-01 1.000000000000000000e+00 8.000000000000000000e+00
6.786359530262331408e-01 1.000000000000000000e+00 2.000000000000000000e+01
2.862466124662313427e-01 2.531683168316831711e+01 4.000000000000000000e+00
8.361562782295945961e-01 2.209900990099009732e+01 8.000000000000000000e+00
6.933152664859951742e-01 3.214851485148514598e+01 1.800000000000000000e+01
8.485772357720948733e-01 3.000000000000000000e+00 7.000000000000000000e+00
3.201219512196603612e-01 7.000000000000000000e+00 9.000000000000000000e+00
4.894986449866254863e-01 8.920792079207920722e+00 1.000000000000000000e+01
