stall_force|mt_speed|mt_binding|mt_unbinding|cl_binding|cl_unbinding|cl_stiffness|time_step|viscosity|cl_number|mt_number|nb_steps|nb_frames
6|0.05|0.01|0.01|1|2.38|100|1e-05||121|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||121|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||121|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||4|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||4|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||4|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||206|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||206|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||206|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||68|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||68|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||68|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||264|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||264|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||264|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||83|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||83|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||83|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||116|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||116|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||116|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||144|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||144|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||144|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||219|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||219|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||219|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||346|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||346|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||346|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||343|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||343|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||343|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||253|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||253|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||253|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||255|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||255|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||255|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||212|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||212|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||212|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||316|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||316|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||316|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||213|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||213|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||213|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||178|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||178|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||178|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||269|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||269|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||269|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||362|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||362|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||362|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||181|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||181|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||181|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||18|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||18|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||18|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||311|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||311|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||311|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||68|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||68|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||68|90|400|100
