stall_force|mt_speed|mt_diff|cl_diff|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.1|100|87|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|120|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|210|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|59|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|300|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|42|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|52|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|209|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|104|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|110|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|294|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|286|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|13|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|57|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|172|3.0|0.0001|100000|100
