stall_force|mt_speed|mt_diff|cl_diff|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.1|100|193|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|122|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|57|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|13|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|165|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|79|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|127|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|270|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|281|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|202|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|14|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|170|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|30|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|30|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|41|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|268|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|248|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|289|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|72|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|142|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|182|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|129|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|61|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|208|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|95|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|105|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|200|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|184|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|139|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|150|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|55|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|212|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|155|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|46|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|36|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|101|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|248|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|149|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|210|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|144|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|240|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|167|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|293|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|284|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|192|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|49|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|2|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|282|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|209|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|88|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|35|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|115|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|82|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|287|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|258|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|173|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|285|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|200|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|169|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|239|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|99|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|272|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|180|3.0|1e-05|4000000|100
