stifness|diffusion|length
122.449|0.026102|10
128.367|0.026102|10
134.286|0.026102|10
140.204|0.026102|10
146.122|0.026102|10
152.041|0.026102|10
157.959|0.026102|10
163.878|0.026102|10
169.796|0.026102|10
175.714|0.026102|10
181.633|0.026102|10
187.551|0.026102|10
193.469|0.026102|10
199.388|0.026102|10
205.306|0.026102|10
211.224|0.026102|10
217.143|0.026102|10
223.061|0.026102|10
228.98|0.026102|10
234.898|0.026102|10
240.816|0.026102|10
246.735|0.026102|10
252.653|0.026102|10
258.571|0.026102|10
264.49|0.026102|10
270.408|0.026102|10
276.327|0.026102|10
282.245|0.026102|10
288.163|0.026102|10
294.082|0.026102|10
300|0.026102|10
10|0.0276122|10
15.9184|0.0276122|10
21.8367|0.0276122|10
27.7551|0.0276122|10
33.6735|0.0276122|10
39.5918|0.0276122|10
45.5102|0.0276122|10
51.4286|0.0276122|10
57.3469|0.0276122|10
63.2653|0.0276122|10
69.1837|0.0276122|10
75.102|0.0276122|10
81.0204|0.0276122|10
86.9388|0.0276122|10
92.8571|0.0276122|10
98.7755|0.0276122|10
104.694|0.0276122|10
110.612|0.0276122|10
116.531|0.0276122|10
122.449|0.0276122|10
128.367|0.0276122|10
134.286|0.0276122|10
140.204|0.0276122|10
146.122|0.0276122|10
152.041|0.0276122|10
157.959|0.0276122|10
163.878|0.0276122|10
169.796|0.0276122|10
175.714|0.0276122|10
181.633|0.0276122|10
187.551|0.0276122|10
193.469|0.0276122|10
199.388|0.0276122|10
205.306|0.0276122|10
211.224|0.0276122|10
217.143|0.0276122|10
223.061|0.0276122|10
228.98|0.0276122|10
234.898|0.0276122|10
240.816|0.0276122|10
246.735|0.0276122|10
252.653|0.0276122|10
258.571|0.0276122|10
264.49|0.0276122|10
270.408|0.0276122|10
276.327|0.0276122|10
282.245|0.0276122|10
288.163|0.0276122|10
294.082|0.0276122|10
300|0.0276122|10
10|0.0291224|10
15.9184|0.0291224|10
21.8367|0.0291224|10
27.7551|0.0291224|10
33.6735|0.0291224|10
39.5918|0.0291224|10
45.5102|0.0291224|10
51.4286|0.0291224|10
57.3469|0.0291224|10
63.2653|0.0291224|10
69.1837|0.0291224|10
75.102|0.0291224|10
81.0204|0.0291224|10
86.9388|0.0291224|10
92.8571|0.0291224|10
98.7755|0.0291224|10
104.694|0.0291224|10
110.612|0.0291224|10
116.531|0.0291224|10
122.449|0.0291224|10
128.367|0.0291224|10
134.286|0.0291224|10
140.204|0.0291224|10
146.122|0.0291224|10
152.041|0.0291224|10
157.959|0.0291224|10
163.878|0.0291224|10
169.796|0.0291224|10
175.714|0.0291224|10
181.633|0.0291224|10
187.551|0.0291224|10
193.469|0.0291224|10
199.388|0.0291224|10
205.306|0.0291224|10
211.224|0.0291224|10
217.143|0.0291224|10
223.061|0.0291224|10
228.98|0.0291224|10
234.898|0.0291224|10
240.816|0.0291224|10
246.735|0.0291224|10
252.653|0.0291224|10
258.571|0.0291224|10
264.49|0.0291224|10
270.408|0.0291224|10
276.327|0.0291224|10
282.245|0.0291224|10
288.163|0.0291224|10
294.082|0.0291224|10
300|0.0291224|10
10|0.0306327|10
15.9184|0.0306327|10
21.8367|0.0306327|10
27.7551|0.0306327|10
33.6735|0.0306327|10
39.5918|0.0306327|10
45.5102|0.0306327|10
51.4286|0.0306327|10
57.3469|0.0306327|10
63.2653|0.0306327|10
69.1837|0.0306327|10
75.102|0.0306327|10
81.0204|0.0306327|10
86.9388|0.0306327|10
92.8571|0.0306327|10
98.7755|0.0306327|10
104.694|0.0306327|10
110.612|0.0306327|10
116.531|0.0306327|10
122.449|0.0306327|10
128.367|0.0306327|10
134.286|0.0306327|10
140.204|0.0306327|10
146.122|0.0306327|10
152.041|0.0306327|10
157.959|0.0306327|10
163.878|0.0306327|10
169.796|0.0306327|10
175.714|0.0306327|10
181.633|0.0306327|10
187.551|0.0306327|10
193.469|0.0306327|10
199.388|0.0306327|10
205.306|0.0306327|10
211.224|0.0306327|10
217.143|0.0306327|10
223.061|0.0306327|10
228.98|0.0306327|10
234.898|0.0306327|10
240.816|0.0306327|10
246.735|0.0306327|10
252.653|0.0306327|10
258.571|0.0306327|10
264.49|0.0306327|10
270.408|0.0306327|10
276.327|0.0306327|10
282.245|0.0306327|10
288.163|0.0306327|10
294.082|0.0306327|10
300|0.0306327|10
10|0.0321429|10
15.9184|0.0321429|10
21.8367|0.0321429|10
27.7551|0.0321429|10
33.6735|0.0321429|10
39.5918|0.0321429|10
45.5102|0.0321429|10
51.4286|0.0321429|10
57.3469|0.0321429|10
63.2653|0.0321429|10
69.1837|0.0321429|10
75.102|0.0321429|10
81.0204|0.0321429|10
86.9388|0.0321429|10
92.8571|0.0321429|10
98.7755|0.0321429|10
104.694|0.0321429|10
110.612|0.0321429|10
116.531|0.0321429|10
122.449|0.0321429|10
128.367|0.0321429|10
134.286|0.0321429|10
140.204|0.0321429|10
146.122|0.0321429|10
152.041|0.0321429|10
157.959|0.0321429|10
163.878|0.0321429|10
169.796|0.0321429|10
175.714|0.0321429|10
181.633|0.0321429|10
187.551|0.0321429|10
193.469|0.0321429|10
199.388|0.0321429|10
205.306|0.0321429|10
211.224|0.0321429|10
217.143|0.0321429|10
223.061|0.0321429|10
228.98|0.0321429|10
234.898|0.0321429|10
240.816|0.0321429|10
246.735|0.0321429|10
252.653|0.0321429|10
258.571|0.0321429|10
264.49|0.0321429|10
270.408|0.0321429|10
276.327|0.0321429|10
282.245|0.0321429|10
288.163|0.0321429|10
294.082|0.0321429|10
300|0.0321429|10
10|0.0336531|10
15.9184|0.0336531|10
21.8367|0.0336531|10
27.7551|0.0336531|10
33.6735|0.0336531|10
39.5918|0.0336531|10
45.5102|0.0336531|10
51.4286|0.0336531|10
57.3469|0.0336531|10
63.2653|0.0336531|10
69.1837|0.0336531|10
75.102|0.0336531|10
81.0204|0.0336531|10
86.9388|0.0336531|10
92.8571|0.0336531|10
98.7755|0.0336531|10
104.694|0.0336531|10
110.612|0.0336531|10
116.531|0.0336531|10
122.449|0.0336531|10
128.367|0.0336531|10
134.286|0.0336531|10
140.204|0.0336531|10
146.122|0.0336531|10
152.041|0.0336531|10
157.959|0.0336531|10
163.878|0.0336531|10
169.796|0.0336531|10
175.714|0.0336531|10
181.633|0.0336531|10
187.551|0.0336531|10
193.469|0.0336531|10
199.388|0.0336531|10
205.306|0.0336531|10
211.224|0.0336531|10
217.143|0.0336531|10
223.061|0.0336531|10
228.98|0.0336531|10
234.898|0.0336531|10
240.816|0.0336531|10
246.735|0.0336531|10
252.653|0.0336531|10
258.571|0.0336531|10
264.49|0.0336531|10
270.408|0.0336531|10
276.327|0.0336531|10
282.245|0.0336531|10
288.163|0.0336531|10
294.082|0.0336531|10
300|0.0336531|10
10|0.0351633|10
15.9184|0.0351633|10
21.8367|0.0351633|10
27.7551|0.0351633|10
33.6735|0.0351633|10
39.5918|0.0351633|10
45.5102|0.0351633|10
51.4286|0.0351633|10
57.3469|0.0351633|10
63.2653|0.0351633|10
69.1837|0.0351633|10
75.102|0.0351633|10
81.0204|0.0351633|10
86.9388|0.0351633|10
92.8571|0.0351633|10
98.7755|0.0351633|10
104.694|0.0351633|10
110.612|0.0351633|10
116.531|0.0351633|10
122.449|0.0351633|10
128.367|0.0351633|10
134.286|0.0351633|10
140.204|0.0351633|10
146.122|0.0351633|10
152.041|0.0351633|10
157.959|0.0351633|10
