cl_diff|stiffness|viscosity|cl_number|time_step|nb_steps|nb_frames|occup|overlap_length
0.043|250|0.01|90|1e-05|1500000|100|0.1|7.27543964499
0.043|250|0.01|100|1e-05|1500000|100|0.1|8.04987429006
0.043|250|0.01|115|1e-05|1500000|100|0.1|9.23799508441
0.043|250|0.01|72|1e-05|1500000|100|0.1|5.79757179398
0.043|250|0.01|143|1e-05|1500000|100|0.1|11.481148583
0.043|250|0.01|26|1e-05|1500000|100|0.1|2.15394693244
0.043|250|0.01|22|1e-05|1500000|100|0.1|1.83700171243
0.043|250|0.01|10|1e-05|1500000|100|0.1|0.853633781566
0.043|250|0.01|97|1e-05|1500000|100|0.1|7.81988665067
0.043|250|0.01|119|1e-05|1500000|100|0.1|9.59119601616
0.043|250|0.01|171|1e-05|1500000|100|0.1|13.7163814048
0.043|250|0.01|21|1e-05|1500000|100|0.1|1.75841683619
0.043|250|0.01|83|1e-05|1500000|100|0.1|6.69305235097
0.043|250|0.01|43|1e-05|1500000|100|0.1|3.45715385971
0.043|250|0.01|111|1e-05|1500000|100|0.1|8.95582810624
0.043|250|0.01|119|1e-05|1500000|100|0.1|9.56164960054
0.043|250|0.01|110|1e-05|1500000|100|0.1|8.85181429494
0.043|250|0.01|73|1e-05|1500000|100|0.1|5.88638888912
0.043|250|0.01|132|1e-05|1500000|100|0.1|10.5706449319
0.043|250|0.01|7|1e-05|1500000|100|0.1|0.621490010499
0.043|250|0.01|111|1e-05|1500000|100|0.1|8.92086968319
0.043|250|0.01|128|1e-05|1500000|100|0.1|10.3109190261
0.043|250|0.01|148|1e-05|1500000|100|0.1|11.8556706033
0.043|250|0.01|20|1e-05|1500000|100|0.1|1.60285958036
0.043|250|0.01|54|1e-05|1500000|100|0.1|4.32976768004
0.043|250|0.01|46|1e-05|1500000|100|0.1|3.69249825387
0.043|250|0.01|182|1e-05|1500000|100|0.1|14.609357892
0.043|250|0.01|36|1e-05|1500000|100|0.1|2.93891377548
0.043|250|0.01|145|1e-05|1500000|100|0.1|11.6361708539
0.043|250|0.01|169|1e-05|1500000|100|0.1|13.5413627324
0.043|250|0.01|78|1e-05|1500000|100|0.1|6.27027525909
0.043|250|0.01|59|1e-05|1500000|100|0.1|4.77259071327
