speed bound_cl bound_mt
6.618913730803975548e-02 2.461386138613861263e+01 1.637623762376237480e+01
7.460185185185189138e-02 7.584158415841583789e+00 6.217821782178218015e+00
8.477822944896119817e-02 8.108910891089108119e+00 1.427722772277227747e+01
8.027094625112921045e-02 8.772277227722772963e+00 1.162376237623762343e+01
7.637195121951222132e-02 5.445544554455445940e+00 5.633663366336633338e+00
8.872916666666670615e-02 5.584158415841583789e+00 1.359405940594059459e+01
9.253466576332429472e-02 5.079207920792079278e+00 1.891089108910891170e+01
5.243964543812106027e-02 2.290099009900990268e+01 8.603960396039603609e+00
5.640475383920499214e-02 2.301980198019801804e+01 9.465346534653464872e+00
6.597448057813916356e-02 2.258415841584158557e+01 1.471287128712871350e+01
7.375175022583560502e-02 8.554455445544554948e+00 7.613861386138613518e+00
7.650863821138215171e-02 8.544554455445544150e+00 1.061386138613861441e+01
8.507921183378501506e-02 8.712871287128713504e+00 1.828712871287128650e+01
9.682525971093049189e-02 1.386138613861386260e-01 2.970297029702970271e+00
9.894060523938577600e-02 1.485148514851485080e-01 7.673267326732672977e+00
9.953506097560979593e-02 1.386138613861386260e-01 1.885148514851485047e+01
5.582825203252037016e-02 1.644554455445544505e+01 6.514851485148514421e+00
6.687889566395666119e-02 1.659405940594059459e+01 1.056435643564356397e+01
7.524395889792237502e-02 1.665346534653465227e+01 1.788118811881188108e+01
2.726908310749773245e-02 2.699009900990099098e+01 3.188118811881188286e+00
5.655408762420959662e-02 2.788118811881188108e+01 1.165346534653465405e+01
6.051992999096664216e-02 2.698019801980198196e+01 1.473267326732673332e+01
7.055369241192417651e-02 8.514851485148515309e+00 5.871287128712871173e+00
8.905160343270100698e-02 7.198019801980198196e+00 1.745544554455445407e+01
8.441836043360434472e-02 8.059405940594059459e+00 1.824752475247524686e+01
6.778460930442641030e-02 8.643564356435643248e+00 6.029702970297029729e+00
8.101479223125564177e-02 9.554455445544554948e+00 1.471287128712871350e+01
8.691339205058722095e-02 8.742574257425742346e+00 2.089108910891089010e+01
4.760670731707315056e-02 2.301980198019801804e+01 6.495049504950495489e+00
6.143095076784107350e-02 2.180198019801980180e+01 1.330693069306930632e+01
5.590593947606145586e-02 2.288118811881188108e+01 1.040594059405940541e+01
7.027941508581751762e-02 7.019801980198019820e+00 4.861386138613861263e+00
7.808242999096658143e-02 6.702970297029702706e+00 9.079207920792079278e+00
8.900287940379404683e-02 6.930693069306930632e+00 1.814851485148514953e+01
4.984406052393855480e-02 2.061386138613861263e+01 6.831683168316831534e+00
6.007125112917796605e-02 2.169306930693069191e+01 1.147524752475247567e+01
7.525304878048781621e-02 2.160396039603960361e+01 2.197029702970296938e+01
3.855098238482384393e-02 1.710891089108910990e+01 3.693069306930693241e+00
7.263053297199639768e-02 1.721782178217821624e+01 1.543564356435643603e+01
7.244427506775069636e-02 1.691089108910891170e+01 1.355445544554455495e+01
6.914481707317075843e-02 1.061386138613861441e+01 8.039603960396039639e+00
7.783745483288165290e-02 1.072277227722772253e+01 1.158415841584158379e+01
8.133237353206863862e-02 1.048514851485148469e+01 1.584158415841584144e+01
5.724740289069560339e-02 1.291089108910891170e+01 6.168316831683168466e+00
7.286636178861785607e-02 1.219801980198019820e+01 1.153465346534653513e+01
8.113318654019875675e-02 1.178217821782178198e+01 1.872277227722772253e+01
3.936907181571817904e-02 2.298019801980198196e+01 4.930693069306930632e+00
6.028923893405606360e-02 2.428712871287128650e+01 1.352475247524752433e+01
7.174345076784099939e-02 2.248514851485148469e+01 1.944554455445544505e+01
5.334157633243000185e-02 2.159405940594059459e+01 8.217821782178218015e+00
6.458062330623308422e-02 2.174257425742574412e+01 1.320792079207920722e+01
6.766502935862693524e-02 2.191089108910891170e+01 1.629702970297029552e+01
3.634016485998198959e-02 2.436633663366336577e+01 4.920792079207920722e+00
4.661551490514905666e-02 2.492079207920792072e+01 7.346534653465346842e+00
6.320731707317077397e-02 2.343564356435643603e+01 1.449504950495049549e+01
2.705962059620598339e-02 2.423762376237623783e+01 2.831683168316831534e+00
6.012629855465220774e-02 2.354455445544554593e+01 1.230693069306930632e+01
7.347628726287266931e-02 2.302970297029703062e+01 2.154455445544554593e+01
2.613973577235773060e-02 3.045544554455445407e+01 3.485148514851485135e+00
5.108813233965672773e-02 3.068316831683168289e+01 1.114851485148514776e+01
5.754618337850049559e-02 3.088118811881188108e+01 1.409900990099009910e+01
3.537025745257452863e-02 3.209900990099009732e+01 5.801980198019801804e+00
4.697391598915990479e-02 3.200990099009901257e+01 9.326732673267326135e+00
4.971973803071368103e-02 3.256435643564356752e+01 1.239603960396039639e+01
6.569433152664860831e-02 1.250495049504950451e+01 8.485148514851484691e+00
7.392903116531168717e-02 1.172277227722772253e+01 1.213861386138613874e+01
8.356989611562788689e-02 1.125742574257425765e+01 1.889108910891089010e+01
5.519365401987353509e-02 1.236633663366336577e+01 4.940594059405940541e+00
6.433547877145441574e-02 1.243564356435643603e+01 8.455445544554455850e+00
7.416406955736223883e-02 1.219801980198019820e+01 1.232673267326732613e+01
6.638759033423669020e-02 8.445544554455445052e+00 5.000000000000000000e+00
7.702619692863593714e-02 8.861386138613861263e+00 1.119801980198019820e+01
8.556944444444446185e-02 8.594059405940594587e+00 1.652475247524752433e+01
5.753686766034329242e-02 1.704950495049504866e+01 6.514851485148514421e+00
6.121042231255650196e-02 1.627722772277227747e+01 8.366336633663365774e+00
6.643620144534780059e-02 1.598019801980198018e+01 1.308910891089108830e+01
4.434106820234871849e-02 2.593069306930692974e+01 6.514851485148514421e+00
5.520855916892503101e-02 2.589108910891089010e+01 1.187128712871287206e+01
7.438318654019873688e-02 2.570297029702970448e+01 2.540594059405940541e+01
6.329945799457993572e-02 1.677227722772277119e+01 1.003960396039603964e+01
7.066130307136406219e-02 1.652475247524752433e+01 1.286138613861386126e+01
7.561856368563689423e-02 1.668316831683168289e+01 1.707920792079207928e+01
7.844184733514003582e-02 8.564356435643563970e+00 9.089108910891088300e+00
7.965921409214095361e-02 8.415841584158416211e+00 1.077227722772277296e+01
8.170184056007225026e-02 8.782178217821781985e+00 1.337623762376237657e+01
2.966553748870819768e-02 2.382178217821782340e+01 4.247524752475247745e+00
5.650897696476970405e-02 2.486138613861386304e+01 1.144554455445544505e+01
6.455532971996390257e-02 2.443564356435643603e+01 1.538613861386138559e+01
5.386562782294495449e-02 6.851485148514851353e+00 2.544554455445544594e+00
8.946008355916894306e-02 6.049504950495049549e+00 1.738613861386138737e+01
8.755092592592590706e-02 6.306930693069307203e+00 1.531683168316831711e+01
7.586178861788622774e-02 7.871287128712871173e+00 7.277227722772277474e+00
7.657943766937674868e-02 8.158415841584158557e+00 9.227722772277227037e+00
8.463996160794944046e-02 7.851485148514851353e+00 1.359405940594059459e+01
3.296465672990064877e-02 2.770297029702970448e+01 4.386138613861386482e+00
6.158220415537492276e-02 2.758415841584158557e+01 1.484158415841584144e+01
6.942225609756100257e-02 2.776237623762376217e+01 2.201980198019801804e+01
3.882458220415543199e-02 2.228712871287128650e+01 4.772277227722772075e+00
4.226462285456187434e-02 2.264356435643564325e+01 5.762376237623762165e+00
6.227049457994582315e-02 2.310891089108910990e+01 1.463366336633663423e+01
4.856859756097565983e-02 2.111881188118811892e+01 6.732673267326732436e+00
5.135732836495032760e-02 2.258415841584158557e+01 7.069306930693069368e+00
6.522809394760616108e-02 2.128712871287128650e+01 1.391089108910891170e+01
6.048989385727192303e-02 1.402970297029702884e+01 6.792079207920791895e+00
6.633960027100267720e-02 1.372277227722772253e+01 1.100990099009900902e+01
7.949599141824754966e-02 1.431683168316831711e+01 1.890099009900990268e+01
3.106712962962965285e-02 3.056435643564356397e+01 4.861386138613861263e+00
5.037454832881662486e-02 2.959405940594059459e+01 1.091089108910891170e+01
6.197752935862691631e-02 3.000990099009900902e+01 1.624752475247524686e+01
5.444179087624211044e-02 1.738613861386138737e+01 7.009900990099009910e+00
6.703359304426378951e-02 1.744554455445544505e+01 1.095049504950495134e+01
6.722069783197834325e-02 1.850495049504950629e+01 1.297029702970297116e+01
2.907023486901534268e-02 3.203960396039603609e+01 4.643564356435643248e+00
4.824898373983738803e-02 3.190099009900990268e+01 9.841584158415841443e+00
5.681086269196024968e-02 3.146534653465346665e+01 1.474257425742574235e+01
